2026-01-28 10:06:26 | app.core.database | INFO     | <module>:39 | 使用 SQLite 数据库: ./data/office_assistant.db
2026-01-28 10:07:38 | app.core.database | INFO     | <module>:39 | 使用 SQLite 数据库: ./data/office_assistant.db
2026-01-28 10:14:43 | app.core.database | INFO     | <module>:39 | 使用 SQLite 数据库: ./data/office_assistant.db
2026-01-28 10:17:08 | app.core.database | INFO     | <module>:39 | 使用 SQLite 数据库: ./data/office_assistant.db
2026-01-28 10:18:29 | app.core.database | INFO     | <module>:39 | 使用 SQLite 数据库: ./data/office_assistant.db
2026-01-28 10:18:34 | app.core.database | INFO     | init_db:86 | ✅ 数据库表创建完成
2026-01-28 12:47:14 | app.core.database | INFO     | <module>:39 | 使用 SQLite 数据库: ./data/office_assistant.db
2026-01-28 12:48:33 | app.core.database | INFO     | <module>:39 | 使用 SQLite 数据库: ./data/office_assistant.db
2026-01-28 12:48:38 | app.core.database | INFO     | init_db:86 | ✅ 数据库表创建完成
