2026-01-26 17:08:44 | app.services.polish_normalization_service | INFO     | analyze_text:357 | 开始分析文本，长度: 23 字符
2026-01-26 17:08:44 | app.services.polish_normalization_service | INFO     | analyze_text:383 | 分析完成，发现 2 个问题
2026-01-26 18:05:02 | app.services.polish_normalization_service | INFO     | analyze_text:357 | 开始分析文本，长度: 108 字符
2026-01-26 18:05:02 | app.services.polish_normalization_service | INFO     | analyze_text:383 | 分析完成，发现 10 个问题
2026-01-26 18:05:02 | app.services.polish_normalization_service | INFO     | analyze_text:357 | 开始分析文本，长度: 17 字符
2026-01-26 18:05:02 | app.services.polish_normalization_service | INFO     | analyze_text:383 | 分析完成，发现 2 个问题
2026-01-26 18:05:02 | app.services.polish_normalization_service | INFO     | analyze_text:357 | 开始分析文本，长度: 14 字符
2026-01-26 18:05:02 | app.services.polish_normalization_service | INFO     | analyze_text:383 | 分析完成，发现 1 个问题
2026-01-26 18:05:37 | app.services.polish_normalization_service | INFO     | analyze_text:357 | 开始分析文本，长度: 23 字符
2026-01-26 18:05:37 | app.services.polish_normalization_service | INFO     | analyze_text:383 | 分析完成，发现 2 个问题
